"elev_kon";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn5";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn5";"dist";"imp";"moto";"rikt";"uppr";"skif";"efig";"efpl";"efutf";"efutv"
"Flicka";7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;14;10;5;6;NA;5;4;7;2
"Pojke";8;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;2;2;NA;0;2;2;5;0
"Pojke";9;8;5;5;NA;NA;NA;3;3;4;2;6;5;6;2;3;11;3;4;1;0;1;2;1;0
"Pojke";7;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;2;0;4;2;0;2;0
"Flicka";8;9;5;5;2;4;1;NA;4;3;1;7;6;6;2;3;5;0;3;1;1;1;0;3;0
"Flicka";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;1;0;0;0
"Flicka";6;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;4;2;1;2;1;3;1
"Flicka";5;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;6;1;4;6;1;2;5;9;5
"Pojke";7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;15;4;7;12;8;7;7;10;6
"Flicka";7;8;3;5;3;3;2;2;4;4;2;5;5;6;4;0;0;0;0;0;0;0;0;0;0
"Pojke";5;9;5;5;3;5;3;3;3;1;2;2;2;1;2;3;4;2;2;6;0;0;0;1;0
"Flicka";9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;0;0;0;0;0;0;0
"Flicka";NA;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Pojke";NA;6;2;2;5;5;4;2;3;1;2;3;3;2;2;4;10;4;4;5;2;6;3;5;3
"Flicka";NA;8;5;5;4;4;2;2;4;5;4;5;5;7;7;1;1;0;0;0;0;0;0;2;0
NA;10;9;5;6;2;3;2;NA;5;3;5;5;5;6;7;0;0;0;0;0;0;0;0;0;0
"Flicka";8;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Flicka";NA;NA;6;5;2;2;1;2;3;1;1;5;5;2;3;0;0;0;0;0;0;0;0;0;0
"Flicka";NA;NA;5;5;3;4;2;1;4;6;2;7;4;7;5;0;0;0;0;0;0;0;0;0;0
"Flicka";NA;NA;4;2;3;4;1;4;3;1;1;5;2;3;2;2;0;0;0;0;0;1;0;1;0
"Flicka";NA;NA;5;3;5;3;1;3;3;1;1;5;4;2;2;0;0;0;0;0;0;0;0;0;0
"Pojke";9;7;5;4;3;4;4;NA;3;2;5;4;4;4;7;2;0;0;2;0;0;1;1;2;1
"Flicka";9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Flicka";8;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;0;0;0;0;1;0
